phoneme,possible orthography
oː,o o oh oo
m̩,m
i,i i e ea ee
ʊ,u u o
ç,sh sh sh tsch sch
ɧ,sh sj sch ph
øː,o oo or oor öh ö
ɛː,e e ä
a,a
ɑ,a
zʲ,z zy zy zj
t͡ɕʲ,tsh tsch tsh tsch tshj tschj tshy tschy
sː,ss
rː,rr
t͡ʃ,tsh
lʲ,l ly ly lj
w,w
t͡s,ts
nː,n
uː,uu oo u u
ŋ,n ng
ʁ,gh r 
pʲ,p y
kː,kk
nʲ,n ny ny nj
yː,ü u üh uu uu oo
ʌ,u u a
rʲ,r ry ry rj
dː,dd
ə,a e
r,r
d͡ʒ,j j j g dg
ɡː,gg
vʲ,v vy vy w
ʲ,y j
ɑː,aa a ah
fʲ,f fy fy fj
ɪ,i i e
j,y j
ɾ,r d l
z,z
ɐ,a e
ɨ,i
ɲ,ny ñ 
x,x kh
t͡ʃː,ch ch tch
v,v v w
ɕːʲ,sh sh sh tsch sch shy shy shy tschy schy
ɕ,sh sh sh tsch sch shy shy shy tschy schy
æ,a
vː,vv v
d,d
bʲ,b by by bj
ð,th
l,l
t,t
n,n
fː,f ff
ʝ,yh yh jh
f,f
u,u u u oo oo o
iː,i i ee
t͡ɬ,tl tchl
ʒ,j j s
bː,bb bb b
œ,o ö or
ʏ,ü u
d͡ʒː,dgg jj
tː,tt t
kʲ,k ky ky kj
d͡ʑ,djy dj jy
o,o
t͡ɕ,tsh tsch
ɵ,o ö u ü
h,h
k,k
ø,o ö or
ɕː,shh cshh
ɡ,g
y,ü u
ʀ,gh r
n̩,n
p͡f,pf
mʲ,m my my mj
dʲ,d dy dy dj
sʲ,s sy sy s
b,b
xʲ,x kh xy xy khy khy xj khj
eː,ee ä e a
mː,mm
tʲ,t ty ty tj
e,ä e e a
s,s
ʔ,'
ɛ,e e ä
p,p
ʉː,u u u oo ü
ʃ,sh
m,m
ʎ,l ly ly
ɔ,o
ʂ,sh
ɹ̩,r
lː,l ll
ʂʲː,sh shy shy shj
ɹ,r
θ,th
pː,p pp
aː,a aa ah
ɒ,a a aw o ah oh
